YZ901AB;1;Diego;28/05/2024 14:12:11;28/05/2024 14:16:58;
KL890MN;1;Diego;28/05/2024 14:16:50;28/05/2024 14:17:29;
KL890MN;2;Diego;28/05/2024 14:17:27;28/05/2024 14:17:29;
MN012OP;1;Diego;28/05/2024 14:23:05;28/05/2024 14:23:14;
MN012OP;2;Diego;28/05/2024 14:23:18;28/05/2024 14:23:20;
IJ789KL;1;Diego;28/05/2024 14:26:49;28/05/2024 14:26:57;
IJ789KL;2;Diego;28/05/2024 14:26:53;28/05/2024 14:27:00;
AB123CD;1;Diego;26/05/2024 14:00:00;26/05/2024 16:00:00;
MN012OP;3;Diego;28/05/2024 18:39:12;;
QR345ST;1;Diego;28/05/2024 18:48:10;;
MN012OP;4;Diego;28/05/2024 18:54:47;28/05/2024 19:00:55;
MN012OP;5;Diego;28/05/2024 19:00:50;;
